sample,success,l2,adv_label
1595,True,0.7999861912826765,GorgonGroup
1596,True,0.7999996990891048,GorgonGroup
1597,False,,attack_failed
1598,True,0.7999861950574864,GorgonGroup
1599,True,0.009345781173681117,APT29
1600,False,,attack_failed
1601,True,0.05522063606540707,APT29
1602,True,0.0017127693953346522,APT29
1603,False,,attack_failed
1604,True,0.3136819086886238,APT29
1605,False,,attack_failed
1606,True,0.030018745291239757,Winnti
1607,True,0.05426966702690533,Equation
1608,False,,attack_failed
1609,False,,attack_failed
1610,True,0.32544448578933277,GorgonGroup
1611,True,0.004994708395686653,APT29
1612,True,0.004994708395686653,APT29
1613,False,,attack_failed
1614,False,,attack_failed
1615,True,0.007830432204575856,Winnti
1616,False,,attack_failed
1617,False,,attack_failed
1618,False,,attack_failed
1619,True,0.07219384033170625,APT29
1620,True,0.05549760966505231,APT29
1621,True,0.10055480822213887,APT29
1622,False,,attack_failed
1623,True,0.03177436838286996,APT29
1624,False,,attack_failed
